typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H4","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","24356.249","true","0","false","24345541",,"24345541","4","true","false",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","699","IND","India","0","W00","World","H4","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","586.49","true","0","false","586232",,"586232","4","true","false",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","1694.856","true","0","false","1694111",,"1694111","4","true","false",
"C","A","20160101","2016","52","2016","842","USA","USA","M","Import","764","THA","Thailand","0","W00","World","H4","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","23248.6","true","0","false","23238379",,"23238379","4","true","false",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","124","CAN","Canada","0","W00","World","H5","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","20357.857","true","0","false","20412401","0","20412401","6","true","false",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","156","CHN","China","0","W00","World","H5","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","84353.52","true","0","false","84579524","0","84579524","6","true","false",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","392","JPN","Japan","0","W00","World","H5","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","25468.324","true","0","false","25536560","0","25536560","6","true","false",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","410","KOR","Rep. of Korea","0","W00","World","H5","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","7864.732","true","0","false","7885804","0","7885804","6","true","false",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","484","MEX","Mexico","0","W00","World","H5","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","31246.444","true","0","false","31330161","0","31330161","6","true","false",
"C","A","20170101","2017","52","2017","842","USA","USA","M","Import","699","IND","India","0","W00","World","H5","HS","true","903040","Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","636.013","true","0","false","637717","0","637717","6","true","false",
